project_name,country,year,sector,subsector,investment,fund_source,carrier_type,overall_rating,relevance,coherence,effectivity,efficiency,impact,sustainability,url,outcome_fully,outcome_partially,outcome_not,pdf
Wasserversorgung Kayseri,Türkei,2007,Wasser,Ressourcenschutz inkl. Wasser,18957000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,1.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Türkei_WV_Kayseri_2007.pdf,80.0,0.0,20.0,Türkei_WV_Kayseri_2007.pdf
Unterstützung von südsudanesischen Flüchtlingen in Äthiopien,Äthiopien,2020,Frieden und Sicherheit,Frieden und Governance,5000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,3,2.0,,3.0,3.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Äthiopien_Gambella_2020_D.pdf,71.42857142857143,14.285714285714285,0.0,Äthiopien_Gambella_2020_D.pdf
Programm zur Unterstützung der Dezentralisierung und Kommunalentwicklung - FADEC I,Benin,2020,Governance,Frieden und Governance,5470000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,1.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Benin_FaDEC_2020_D.pdf,71.42857142857143,14.285714285714285,14.285714285714285,Benin_FaDEC_2020_D.pdf
Programm zur Unterstützung der Dezentralisierung und Kommunalentwicklung - FADEC II,Benin,2020,Governance,Frieden und Governance,8660000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,1.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Benin_FaDEC_2020_D.pdf,71.42857142857143,14.285714285714285,14.285714285714285,Benin_FaDEC_2020_D.pdf
Rehabilitierung des Wasserkraftwerkes Rama,Bosnien und Herzegowina,2020,Energie,Klima und Energie,27700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bosnien_Herzigowina_WKW-Rama_2020_D.pdf,100.0,0.0,0.0,Bosnien_Herzigowina_WKW-Rama_2020_D.pdf
HIV/AIDS-Prävention und reproduktive Gesundheit,Burkina Faso,2020,Gesundheit,Gesundheit und soziale Sicherung,14980000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),NRO,2,2.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Burkina_Faso_PREVISAR_2020_D.pdf,100.0,0.0,0.0,Burkina_Faso_PREVISAR_2020_D.pdf
Korbfinanzierung Gesundheit I,Burkina Faso,2020,Gesundheit,Gesundheit und soziale Sicherung,29270000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,3.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Burkina_Faso_PADS_2020_D.pdf,28.57142857142857,57.14285714285714,14.285714285714285,Burkina_Faso_PADS_2020_D.pdf
Korbfinanzierung Gesundheit II,Burkina Faso,2020,Gesundheit,Gesundheit und soziale Sicherung,6000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,3.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Burkina_Faso_PADS_2020_D.pdf,28.57142857142857,57.14285714285714,14.285714285714285,Burkina_Faso_PADS_2020_D.pdf
Kommunale Abwasserversorgung II (Yangtze),Volksrepublik China,2020,Wasser,Ressourcenschutz inkl. Wasser,156360000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,3.0,3.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_AEYantse_2020_D.pdf,25.0,75.0,0.0,China_AEYantse_2020_D.pdf
Ländliche Wasserversorgung VIII (<span lang='fr'>Hydraulique Villageoise Améliorée VIII</span>),Elfenbeinküste,2020,Wasser,Ressourcenschutz inkl. Wasser,15760000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,4.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/CotedIvoire_WV_2020_D.pdf,33.33333333333333,16.666666666666664,50.0,CotedIvoire_WV_2020_D.pdf
Einfachwohnungsbau auf dem Lande (PVMR V),Honduras,2020,Nachhaltige Wirtschaftsentwicklung,Frieden und Governance,10020000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),NRO,2,1.0,,1.0,1.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Honduras_PVMRV_2020_D.pdf,87.5,12.5,0.0,Honduras_PVMRV_2020_D.pdf
Innovationsfinanzierung SIDBI,Indien,2020,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,25700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,2.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_SIDBI_2020_D.pdf,50.0,16.666666666666664,33.33333333333333,Indien_SIDBI_2020_D.pdf
Innovationsfinanzierung SIDBI,Indien,2020,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,8000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,2.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_SIDBI_2020_D.pdf,50.0,16.666666666666664,33.33333333333333,Indien_SIDBI_2020_D.pdf
Basisernährung / Mutter- und Kindgesundheit III,Jemen,2020,Gesundheit,Gesundheit und soziale Sicherung,246986000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,3,3.0,,3.0,3.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_Basisernährung_2020_D.pdf,33.33333333333333,0.0,66.66666666666666,Jemen_Basisernährung_2020_D.pdf
Stromübertragungsleitung Kampot - Takeo,Kambodscha,2020,Energie,Klima und Energie,12600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,1,1.0,,1.0,1.0,2,1.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kambodscha_Elektrifizierung_2020_D.pdf,100.0,0.0,0.0,Kambodscha_Elektrifizierung_2020_D.pdf
Ländliche Elektrifizierung,Kambodscha,2020,Energie,Klima und Energie,12600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,1,1.0,,1.0,1.0,2,1.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kambodscha_Elektrifizierung_2020_D.pdf,100.0,0.0,0.0,Kambodscha_Elektrifizierung_2020_D.pdf
Ländliche Elektrifizierung II (REP II),Kambodscha,2020,Energie,Klima und Energie,4800000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,1.0,2.0,3,1.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kambodscha_Elektrifizierung_2020_D.pdf,100.0,0.0,0.0,Kambodscha_Elektrifizierung_2020_D.pdf
Programm zur Bekämpfung der Tuberkulose (TB) III,Kirgisistan,2020,Gesundheit,Gesundheit und soziale Sicherung,3150000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kirgisistan_TB_2020_D.pdf,71.42857142857143,0.0,28.57142857142857,Kirgisistan_TB_2020_D.pdf
Programm zur Bekämpfung der Tuberkulose (TB) IV,Kirgisistan,2020,Gesundheit,Gesundheit und soziale Sicherung,1240000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kirgisistan_TB_2020_D.pdf,71.42857142857143,0.0,28.57142857142857,Kirgisistan_TB_2020_D.pdf
Ernährungssicherung für Krisenopfer,Demokratische Republik Kongo,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,159445000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,4,3.0,,4.0,4.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kongo_WFP_2020_D.pdf,12.5,0.0,0.0,Kongo_WFP_2020_D.pdf
Reintegrations- und Wiederaufbauprogramm IV ,Liberia,2020,Frieden und Sicherheit,Frieden und Governance,8745000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),NRO,3,3.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Liberia_RPP_SIRHC_2020_D.pdf,100.0,0.0,0.0,Liberia_RPP_SIRHC_2020_D.pdf
Reintegrations- und Wiederaufbauprogramm - Unterstützung ivorischer Flüchtlinge,Liberia,2020,Frieden und Sicherheit,Frieden und Governance,5042000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),NRO,3,3.0,,2.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Liberia_RPP_SIRHC_2020_D.pdf,50.0,33.33333333333333,0.0,Liberia_RPP_SIRHC_2020_D.pdf
Reintegrations- und Wiederaufbauprogramm - Ebola Support Programm,Liberia,2020,Frieden und Sicherheit,Frieden und Governance,5480000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),NRO,3,3.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Liberia_RPP_SIRHC_2020_D.pdf,50.0,0.0,50.0,Liberia_RPP_SIRHC_2020_D.pdf
Energieeffizienz II,Mongolei,2020,Umweltschutz,Klima und Energie,11460000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,3.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mongolei_Energie_2020_D.pdf,50.0,0.0,50.0,Mongolei_Energie_2020_D.pdf
Gaza Wiederaufbau - Zusatzfinanzierung zum Kommunalentwicklungsprogramm (MDLF VI),Palästina,2020,Governance,Frieden und Governance,21310000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,3.0,1,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Pal_Gebiete_-DLF_2020_D.pdf,100.0,0.0,0.0,Pal_Gebiete_-DLF_2020_D.pdf
Mikrofinanzlinie (Investition und Begleitmaßnahme),Paraguay,2020,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,6020000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Paraguay_Mikrofinanz_2020_D.pdf,100.0,0.0,0.0,Paraguay_Mikrofinanz_2020_D.pdf
"Ländliche Wasser- und Sanitärversorgung Ostprovinz, Phase III",Sambia,2020,Wasser,Ressourcenschutz inkl. Wasser,8230000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sambia_WV_2020_D.pdf,60.0,20.0,20.0,Sambia_WV_2020_D.pdf
"Ländliche Wasser- und Sanitärversorgung Ostprovinz, Phase III",Sambia,2020,Wasser,Ressourcenschutz inkl. Wasser,8230000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sambia_WV_2020_D.pdf,60.0,20.0,20.0,Sambia_WV_2020_D.pdf
Devolution Trust Fund II,Sambia,2020,Wasser,Ressourcenschutz inkl. Wasser,3110000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sambia_DTF_2020_D.pdf,66.66666666666666,0.0,0.0,Sambia_DTF_2020_D.pdf
Städtische Wasser- u. Sanitärversorgung II,Sambia,2019,Wasser,Ressourcenschutz inkl. Wasser,4770000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,3.0,3.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sambia_DTF_2020_D.pdf,37.5,25.0,25.0,Sambia_DTF_2020_D.pdf
Devolution Trust Fund IV,Sambia,2020,Wasser,Ressourcenschutz inkl. Wasser,5250000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Sambia_WV_2020_D.pdf,66.66666666666666,0.0,0.0,Sambia_WV_2020_D.pdf
Beteiligung am investiven Simbabwe Multi Donor Trust Fund (ZimFund),Simbabwe,2020,Governance,Frieden und Governance,59270000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Simbabwe_MDTF_2020_D.pdf,33.33333333333333,33.33333333333333,33.33333333333333,Simbabwe_MDTF_2020_D.pdf
Programm Erneuerbare Energien in <span lang='en'>Southern African Power pool (SAPP)</span> I,Südafrika,2020,Energie,Klima und Energie,312000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Südafrika_SAPP_2020_D.pdf,11.11111111111111,33.33333333333333,33.33333333333333,Südafrika_SAPP_2020_D.pdf
Programm Erneuerbare Energien in <span lang='en'>Southern African Power Pool (SAPP)</span> II,Südafrika,2020,Energie,Klima und Energie,209800000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Südafrika_SAPP_2020_D.pdf,0.0,33.33333333333333,44.44444444444444,Südafrika_SAPP_2020_D.pdf
"Finanzsektorprogramm, Investition",Tadschikistan,2020,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,7000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Tadschikistan_Finanz_2020_D.pdf,100.0,0.0,0.0,Tadschikistan_Finanz_2020_D.pdf
"Finanzsektorprogramm, Investition Phase II",Tadschikistan,2020,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,4560000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Tadschikistan_Finanz_2020_D.pdf,100.0,0.0,0.0,Tadschikistan_Finanz_2020_D.pdf
KKMU-Kreditprogramm zur Beschäftigungsförderung,Tunesien,2020,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,50000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,2,1.0,,2.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Tunesien_KKMU_2020_D.pdf,50.0,50.0,0.0,Tunesien_KKMU_2020_D.pdf
Verbesserung der Energieeffizienz in ländlichen Gebieten in Vietnam,Vietnam,2020,Sonstige,Klima und Energie,161640000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,1.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Vietnam_Energie_2020_D.pdf,100.0,0.0,0.0,Vietnam_Energie_2020_D.pdf
Netzanschluss Wasserkraftwerk Lai Chau,Vietnam,2020,Energie,Klima und Energie,115700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Vietnam_WKW_2020_D.pdf,88.88888888888889,0.0,11.11111111111111,Vietnam_WKW_2020_D.pdf
Programm Windenergie,Volksrepublik China,2018,Energie,Klima und Energie,38190000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,2.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Windenergie_2018_D.pdf,33.33333333333333,0.0,66.66666666666666,China_Windenergie_2018_D.pdf
Programm zur Bekämpfung der Tuberkulose,Kasachstan,2020,Gesundheit,Gesundheit und soziale Sicherung,3780000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kasachstan_TB_2020_D.pdf,100.0,0.0,0.0,Kasachstan_TB_2020_D.pdf
Tuberkulosebekämpfungsprogramm II,Kasachstan,2020,Gesundheit,Gesundheit und soziale Sicherung,4440000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kasachstan_TB_2020_D.pdf,100.0,0.0,0.0,Kasachstan_TB_2020_D.pdf
Verbesserung des Bewässerungssystems I,Ägypten,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,159300000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,4,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/%C3%84gypten_Bew%C3%A4sserung_2020_D.pdf,80.0,0.0,0.0,%C3%84gypten_Bew%C3%A4sserung_2020_D.pdf
Verbesserung des Bewässerungssystems II,Ägypten,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,34300000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,4,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/%C3%84gypten_Bew%C3%A4sserung_2020_D.pdf,80.0,0.0,0.0,%C3%84gypten_Bew%C3%A4sserung_2020_D.pdf
Privatsektorförderung in der Landwirtschaft-Kleinbewässerung <span lang='en'>Mount Kenya</span> III,Kenia,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,3560000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kenia_MountKenya_2020_D.pdf,66.66666666666666,33.33333333333333,0.0,Kenia_MountKenya_2020_D.pdf
Office du Niger – Bewässerung Siengo; Bewässerung Integration marginaler Landnutzer,Mali,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,15500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,4,3.0,,3.0,2.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mali_OdN_2020_D.pdf,0.0,0.0,70.0,Mali_OdN_2020_D.pdf
Office du Niger – Bewässerung Siengo; Bewässerung Integration marginaler Landnutzer,Mali,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,8600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,4,3.0,,3.0,2.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mali_OdN_2020_D.pdf,12.5,0.0,75.0,Mali_OdN_2020_D.pdf
Beitrag zur Umsetzung des nationalen Programms zur Kleinbewässerung,Mali,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,15000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,2.0,2.0,2,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mali_Kleinbew%C3%A4sserung_2020_D.pdf,22.22222222222222,0.0,22.22222222222222,Mali_Kleinbew%C3%A4sserung_2020_D.pdf
Beitrag zur Umsetzung des nationalen Programms zur Kleinbewässerung,Mali,2020,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,61500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,2.0,2.0,2,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mali_Kleinbew%C3%A4sserung_2020_D.pdf,30.0,0.0,30.0,Mali_Kleinbew%C3%A4sserung_2020_D.pdf
Beitrag zur Umsetzung des nationalen Programms zur Kleinbewässerung,Mali,2020,Landwirtschaft und Ernährungssicherheit,Frieden und Governance,4600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,2.0,2.0,2,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mali_Kleinbew%C3%A4sserung_2020_D.pdf,11.11111111111111,22.22222222222222,11.11111111111111,Mali_Kleinbew%C3%A4sserung_2020_D.pdf
Investitionsprogramm Erneuerbare Energie,Brasilien,2020,Energie,Klima und Energie,41400000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,3.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Brasilien_EE_Anonym_2020_D.pdf,33.33333333333333,0.0,66.66666666666666,Brasilien_EE_Anonym_2020_D.pdf
Investitionsprogramm Erneuerbare Energie (IVF),Brasilien,2020,Energie,Klima und Energie,41400000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,3.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Brasilien_EE_Anonym_2020_D.pdf,33.33333333333333,0.0,66.66666666666666,Brasilien_EE_Anonym_2020_D.pdf
Förderung der Solarenergie in El Salvador (CEL),El Salvador,2020,Energie,Klima und Energie,,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,5,2.0,,5.0,5.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/El-Salvador_Solar_2020_D.pdf,0.0,0.0,100.0,El-Salvador_Solar_2020_D.pdf
Solarkraftwerk Sakri,Indien,2020,Energie,Klima und Energie,199000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_Sakri_2020_D.pdf,100.0,0.0,0.0,Indien_Sakri_2020_D.pdf
Programm ländliche Infrastruktur (RIP III),Kambodscha,2020,Transport und Kommunikation,Nachhaltige Wirtschaft,4710000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kambodscha_RIPIII_2020_D.pdf,66.66666666666666,33.33333333333333,0.0,Kambodscha_RIPIII_2020_D.pdf
Flutschädenbeseitigung an ländlicher Infrastruktur (FRRI),Kambodscha,2020,Transport und Kommunikation,Nachhaltige Wirtschaft,10900000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kambodscha_FRRI_2020_D.pdf,100.0,0.0,0.0,Kambodscha_FRRI_2020_D.pdf
